name,path,sha256,size,words,modified,description
empathy-map,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/empathy-map/SKILL.md,42b7a178b3ee,1922,293,2026-03-23T13:22:35.836998,"Build a 4-quadrant empathy map (Says, Thinks, Does, Feels) to synthesize user research into actionable insights. Use when you need to quickly capture and share user understanding across the team."
jobs-to-be-done,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/jobs-to-be-done/SKILL.md,3a9cbdadaabf,1610,238,2026-03-23T13:22:35.837317,"Map user Jobs-to-Be-Done with functional, emotional, and social dimensions plus outcome expectations. Use when reframing product decisions around user motivations rather than features."
card-sort-analysis,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/card-sort-analysis/SKILL.md,bb57520cff18,1082,146,2026-03-23T13:22:35.837672,Analyze card sorting results to inform information architecture and navigation structure. Use after conducting open or closed card sort studies.
usability-test-plan,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/usability-test-plan/SKILL.md,83bf3856bb97,1578,219,2026-03-23T13:22:35.837997,"Design a usability test plan with tasks, success metrics, participant criteria, and facilitation guide. Use when planning moderated or unmoderated usability testing sessions."
user-persona,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/user-persona/SKILL.md,80b8d5798f20,2373,353,2026-03-23T13:22:35.838323,"Create refined user personas from research data with demographics, goals, frustrations, and behavioral patterns. Use when synthesizing user research into actionable persona profiles for design decisio"
design-principles,/Users/mavensix/.claude/plugins/cache/designer-skills/ux-strategy/1.0.0/skills/design-principles/SKILL.md,1891ae18a832,1121,167,2026-03-23T13:23:11.145530,Define a set of actionable design principles that guide decision-making and resolve trade-offs.
design-brief,/Users/mavensix/.claude/plugins/cache/designer-skills/ux-strategy/1.0.0/skills/design-brief/SKILL.md,13469a8f1440,1112,151,2026-03-23T13:23:11.146101,"Write a comprehensive design brief that defines the problem space, constraints, audience, and success criteria."
stakeholder-alignment,/Users/mavensix/.claude/plugins/cache/designer-skills/ux-strategy/1.0.0/skills/stakeholder-alignment/SKILL.md,82e39611a7e5,1179,149,2026-03-23T13:23:11.146618,"Create stakeholder alignment artifacts including responsibility matrices, decision frameworks, and communication plans."
experience-map,/Users/mavensix/.claude/plugins/cache/designer-skills/ux-strategy/1.0.0/skills/experience-map/SKILL.md,ebf99b9829c7,1267,172,2026-03-23T13:23:11.147054,"Create a holistic experience map showing the full ecosystem of user touchpoints, channels, and relationships."
north-star-vision,/Users/mavensix/.claude/plugins/cache/designer-skills/ux-strategy/1.0.0/skills/north-star-vision/SKILL.md,b52fe0cda7dd,1157,163,2026-03-23T13:23:11.147400,Articulate a compelling north-star product vision that aligns teams and inspires strategic design decisions.
metrics-definition,/Users/mavensix/.claude/plugins/cache/designer-skills/ux-strategy/1.0.0/skills/metrics-definition/SKILL.md,22b009e8cc11,1142,160,2026-03-23T13:23:11.147760,Define UX metrics and KPIs that connect design decisions to measurable business and user outcomes.
opportunity-framework,/Users/mavensix/.claude/plugins/cache/designer-skills/ux-strategy/1.0.0/skills/opportunity-framework/SKILL.md,d8fa1cc6dca1,1059,138,2026-03-23T13:23:11.148120,"Identify, evaluate, and prioritize design opportunities using impact-effort frameworks and strategic criteria."
competitive-analysis,/Users/mavensix/.claude/plugins/cache/designer-skills/ux-strategy/1.0.0/skills/competitive-analysis/SKILL.md,b2cfb300554e,1375,179,2026-03-23T13:23:11.148490,"Conduct a structured competitive analysis comparing UX patterns, features, strengths, and gaps across rival products."
design-token-audit,/Users/mavensix/.claude/plugins/cache/designer-skills/designer-toolkit/1.0.0/skills/design-token-audit/SKILL.md,4743d896a901,1797,285,2026-03-23T13:25:38.316364,Audit design token usage across a product for consistency and coverage.
design-system-adoption,/Users/mavensix/.claude/plugins/cache/designer-skills/designer-toolkit/1.0.0/skills/design-system-adoption/SKILL.md,f5b3c9d8c41d,2054,316,2026-03-23T13:25:38.316887,Create adoption strategies and materials to drive design system usage across teams.
ux-writing,/Users/mavensix/.claude/plugins/cache/designer-skills/designer-toolkit/1.0.0/skills/ux-writing/SKILL.md,73e03d53407a,1933,315,2026-03-23T13:25:38.317355,"Write effective UI copy including microcopy, error messages, empty states, and CTAs."
case-study,/Users/mavensix/.claude/plugins/cache/designer-skills/designer-toolkit/1.0.0/skills/case-study/SKILL.md,e3d1a29affe9,1970,318,2026-03-23T13:25:38.317762,Craft portfolio-ready case studies that tell the story of a design project.
presentation-deck,/Users/mavensix/.claude/plugins/cache/designer-skills/designer-toolkit/1.0.0/skills/presentation-deck/SKILL.md,e681011708c3,2085,304,2026-03-23T13:25:38.318137,"Structure compelling design presentations for stakeholders, reviews, and showcases."
design-rationale,/Users/mavensix/.claude/plugins/cache/designer-skills/designer-toolkit/1.0.0/skills/design-rationale/SKILL.md,0e1b817fab41,1772,270,2026-03-23T13:25:38.318528,"Write clear design rationale connecting decisions to user needs, business goals, and principles."
feedback-patterns,/Users/mavensix/.claude/plugins/cache/designer-skills/interaction-design/1.0.0/skills/feedback-patterns/SKILL.md,6d7fde8de55d,1989,293,2026-03-23T13:24:16.416295,"Design system feedback for user actions including confirmations, status updates, and notifications."
state-machine,/Users/mavensix/.claude/plugins/cache/designer-skills/interaction-design/1.0.0/skills/state-machine/SKILL.md,56794c2939d3,1815,285,2026-03-23T13:24:16.416785,"Model complex UI behavior as finite state machines with states, events, and transitions."
loading-states,/Users/mavensix/.claude/plugins/cache/designer-skills/interaction-design/1.0.0/skills/loading-states/SKILL.md,fa36367bf1fc,1745,248,2026-03-23T13:24:16.417198,"Design loading, skeleton, and progressive content reveal patterns."
error-handling-ux,/Users/mavensix/.claude/plugins/cache/designer-skills/interaction-design/1.0.0/skills/error-handling-ux/SKILL.md,8f3b02122ed3,1802,284,2026-03-23T13:24:16.417599,"Design error prevention, detection, and recovery experiences."
micro-interaction-spec,/Users/mavensix/.claude/plugins/cache/designer-skills/interaction-design/1.0.0/skills/micro-interaction-spec/SKILL.md,6c948e16a443,1710,225,2026-03-23T13:24:16.417989,"Specify micro-interactions with trigger, rules, feedback, and loop/mode definitions."
gesture-patterns,/Users/mavensix/.claude/plugins/cache/designer-skills/interaction-design/1.0.0/skills/gesture-patterns/SKILL.md,3b50d9b15afd,1849,268,2026-03-23T13:24:16.418402,Design gesture-based interactions for touch and pointer devices.
animation-principles,/Users/mavensix/.claude/plugins/cache/designer-skills/interaction-design/1.0.0/skills/animation-principles/SKILL.md,da8f010e6458,1774,250,2026-03-23T13:24:16.418776,"Apply animation principles to UI motion for purposeful, polished interactions."
pattern-library,/Users/mavensix/.claude/plugins/cache/designer-skills/design-systems/1.0.0/skills/pattern-library/SKILL.md,0d161913f25f,1227,167,2026-03-23T13:25:17.745943,"Structure a pattern library entry with problem context, solution pattern, usage examples, and related patterns."
component-spec,/Users/mavensix/.claude/plugins/cache/designer-skills/design-systems/1.0.0/skills/component-spec/SKILL.md,af81fec406a7,1234,166,2026-03-23T13:25:17.746474,"Write a detailed component specification including props, states, variants, accessibility requirements, and usage guidelines."
theming-system,/Users/mavensix/.claude/plugins/cache/designer-skills/design-systems/1.0.0/skills/theming-system/SKILL.md,aaf7e8e766d8,1267,182,2026-03-23T13:25:17.747077,"Design a theming architecture that supports brand variants, dark mode, and high-contrast modes with token mapping."
design-token,/Users/mavensix/.claude/plugins/cache/designer-skills/design-systems/1.0.0/skills/design-token/SKILL.md,a3bc44f9075f,1417,194,2026-03-23T13:25:17.747704,"Define and organize design tokens (color, spacing, typography, elevation) with naming conventions and usage guidance."
accessibility-audit,/Users/mavensix/.claude/plugins/cache/designer-skills/design-systems/1.0.0/skills/accessibility-audit/SKILL.md,33ba8297c8b9,1223,162,2026-03-23T13:25:17.748144,Conduct a comprehensive accessibility audit against WCAG guidelines with severity ratings and remediation steps.
icon-system,/Users/mavensix/.claude/plugins/cache/designer-skills/design-systems/1.0.0/skills/icon-system/SKILL.md,48f34ec5ebcb,1042,151,2026-03-23T13:25:17.748538,"Create an icon system specification covering grid, sizing, naming, categories, and implementation guidance."
naming-convention,/Users/mavensix/.claude/plugins/cache/designer-skills/design-systems/1.0.0/skills/naming-convention/SKILL.md,013a0c586096,1148,149,2026-03-23T13:25:17.748916,"Establish a naming convention system for design elements, components, and tokens with clear rules and examples."
documentation-template,/Users/mavensix/.claude/plugins/cache/designer-skills/design-systems/1.0.0/skills/documentation-template/SKILL.md,bbd778de2f0d,1076,148,2026-03-23T13:25:17.749307,"Generate structured documentation templates for components, patterns, or guidelines within a design system."
click-test-plan,/Users/mavensix/.claude/plugins/cache/designer-skills/prototyping-testing/1.0.0/skills/click-test-plan/SKILL.md,480082fb0d5a,1611,247,2026-03-23T13:24:54.415794,Design click/first-click tests to evaluate navigation and information findability.
a-b-test-design,/Users/mavensix/.claude/plugins/cache/designer-skills/prototyping-testing/1.0.0/skills/a-b-test-design/SKILL.md,c6149ef56e74,1781,270,2026-03-23T13:24:54.416254,"Design rigorous A/B tests with hypotheses, variants, metrics, and sample size calculations."
user-flow-diagram,/Users/mavensix/.claude/plugins/cache/designer-skills/prototyping-testing/1.0.0/skills/user-flow-diagram/SKILL.md,4a5ab5dbc1d9,1680,273,2026-03-23T13:24:54.416776,"Create user flow diagrams showing paths, decisions, and branch logic."
heuristic-evaluation,/Users/mavensix/.claude/plugins/cache/designer-skills/prototyping-testing/1.0.0/skills/heuristic-evaluation/SKILL.md,3b2cd4dfde97,1846,273,2026-03-23T13:24:54.417245,Conduct expert heuristic evaluations using Nielsen's heuristics and domain-specific criteria.
prototype-strategy,/Users/mavensix/.claude/plugins/cache/designer-skills/prototyping-testing/1.0.0/skills/prototype-strategy/SKILL.md,e772f089185f,1756,251,2026-03-23T13:24:54.417601,Choose the right prototyping fidelity and method for the design question.
test-scenario,/Users/mavensix/.claude/plugins/cache/designer-skills/prototyping-testing/1.0.0/skills/test-scenario/SKILL.md,5aab3de38781,1608,248,2026-03-23T13:24:54.417963,"Write usability test scenarios with tasks, success criteria, and observation guides."
wireframe-spec,/Users/mavensix/.claude/plugins/cache/designer-skills/prototyping-testing/1.0.0/skills/wireframe-spec/SKILL.md,cfd51b0cdd0d,1628,231,2026-03-23T13:24:54.418360,"Specify wireframe layouts with content priority, component placement, and annotation."
accessibility-test-plan,/Users/mavensix/.claude/plugins/cache/designer-skills/prototyping-testing/1.0.0/skills/accessibility-test-plan/SKILL.md,5926f1445753,1753,256,2026-03-23T13:24:54.418700,Create accessibility testing plans covering assistive technologies and WCAG criteria.
plugin-audit,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/.claude/skills/plugin-audit/SKILL.md,3179280ffb97,2956,396,2026-05-07T10:52:28.206167,"Audit vercel-plugin performance on real-world projects. Extracts tool calls from Claude Code conversation logs, tests hook matching against actual inputs, identifies pattern coverage gaps, and checks "
benchmark-testing,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/.claude/skills/benchmark-testing/SKILL.md,9d5ead7eed4f,3788,541,2026-05-07T10:52:28.206370,"Create and launch benchmark test projects to exercise vercel-plugin skill injection across realistic scenarios. Sets up isolated directories, installs the plugin, and spawns WezTerm panes running Clau"
release,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/.claude/skills/release/SKILL.md,f0ba3b1f2814,2120,319,2026-05-07T10:52:28.206569,"Release vercel-plugin — run gates, bump version, generate artifacts, commit, and push. Use when asked to ""release"", ""ship"", ""bump and push"", or ""cut a release""."
benchmark-sandbox,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/.claude/skills/benchmark-sandbox/SKILL.md,2588bbda779e,21960,2954,2026-05-07T10:52:28.207442,"Run vercel-plugin eval scenarios in Vercel Sandboxes instead of local WezTerm panels. Provisions ephemeral microVMs with Claude Code + plugin pre-installed, runs benchmark prompts, extracts hook artif"
benchmark-agents,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/.claude/skills/benchmark-agents/SKILL.md,95fd9d33be1b,14545,2047,2026-05-07T10:52:28.207954,"Advanced AI agent benchmark scenarios that push Vercel's cutting-edge platform features — Workflow DevKit, AI Gateway, MCP, Chat SDK, Queues, Flags, Sandbox, and multi-agent orchestration. Designed to"
vercel-plugin-eval,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/.claude/skills/vercel-plugin-eval/SKILL.md,5c701868cc66,4977,697,2026-05-07T10:52:28.208272,"Run live eval sessions against the vercel-plugin to verify hook behavior, skill injection, dedup correctness, and coverage. Launches real Claude Code sessions via WezTerm, monitors debug logs, and pro"
benchmark-e2e,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/.claude/skills/benchmark-e2e/SKILL.md,1f18ec33990b,5380,719,2026-05-07T10:52:28.208437,"End-to-end benchmark suite for vercel-plugin. Runs realistic projects through skill injection, launches dev servers, verifies everything works, analyzes conversation logs, and produces an improvement "
vercel-agent,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/vercel-agent/SKILL.md,c7ddcf740e60,2921,364,2026-05-07T10:52:28.219129,"Vercel Agent guidance — AI-powered code review, incident investigation, and SDK installation. Automates PR analysis and anomaly debugging. Use when configuring or understanding Vercel's AI development"
routing-middleware,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/routing-middleware/SKILL.md,b582ee4551d7,11174,1426,2026-05-07T10:52:28.219345,"Vercel Routing Middleware guidance — request interception before cache, rewrites, redirects, personalization. Works with any framework. Supports Edge, Node.js, and Bun runtimes. Use when intercepting "
deployments-cicd,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/deployments-cicd/SKILL.md,a0d6c9226501,11772,1503,2026-05-07T10:52:28.219565,"Vercel deployment and CI/CD expert guidance. Use when deploying, promoting, rolling back, inspecting deployments, building with --prebuilt, or configuring CI workflow files for Vercel."
vercel-storage,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/vercel-storage/SKILL.md,9365181d8195,19845,2152,2026-05-07T10:52:28.219766,"Vercel storage expert guidance — Blob, Edge Config, and Marketplace storage (Neon Postgres, Upstash Redis). Use when choosing, configuring, or using data storage with Vercel applications."
bootstrap,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/bootstrap/SKILL.md,ed2f91dbec2c,8022,1009,2026-05-07T10:52:28.219967,"Project bootstrapping orchestrator for repos that depend on Vercel-linked resources (databases, auth, and managed integrations). Use when setting up or repairing a repository so linking, environment p"
knowledge-update,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/knowledge-update/SKILL.md,b807fa96f88e,4333,584,2026-05-07T10:52:28.220163,Corrects outdated LLM knowledge about the Vercel platform and introduces new products. Injected at session start.
vercel-cli,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/vercel-cli/SKILL.md,96ee144d3ea5,5927,729,2026-05-07T10:52:28.221845,"Vercel CLI expert guidance. Use when deploying, managing environment variables, linking projects, viewing logs, querying metrics, managing domains, or interacting with the Vercel platform from the com"
vercel-cli,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/vercel-cli/upstream/SKILL.md,14984c833951,3675,490,2026-05-07T10:52:28.223627,"Deploy, manage, and develop projects on Vercel from the command line"
runtime-cache,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/runtime-cache/SKILL.md,22fb4be9b3b2,9210,1125,2026-05-07T10:52:28.223976,"Vercel Runtime Cache API guidance — ephemeral per-region key-value cache with tag-based invalidation. Shared across Functions, Routing Middleware, and Builds. Use when implementing caching strategies "
ai-gateway,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/ai-gateway/SKILL.md,7bfdfaa64d06,23772,3042,2026-05-07T10:52:28.224137,"Vercel AI Gateway expert guidance. Use when configuring model routing, provider failover, cost tracking, or managing multiple AI providers through a unified API."
auth,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/auth/SKILL.md,b6b9c4b0c9c2,11395,1258,2026-05-07T10:52:28.224317,"Authentication integration guidance — Clerk (native Vercel Marketplace), Descope, and Auth0 setup for Next.js applications. Covers middleware auth patterns, sign-in/sign-up flows, and Marketplace prov"
turbopack,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/turbopack/SKILL.md,8ef65187c426,10695,1401,2026-05-07T10:52:28.224478,"Turbopack expert guidance. Use when configuring the Next.js bundler, optimizing HMR, debugging build issues, or understanding the Turbopack vs Webpack differences."
marketplace,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/marketplace/SKILL.md,8bb6dfd5c819,19420,2148,2026-05-07T10:52:28.224612,"Vercel Marketplace expert guidance — discovering, installing, and building integrations, auto-provisioned environment variables, unified billing, and the vercel integration CLI. Use when consuming thi"
shadcn,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/shadcn/SKILL.md,4a24abf22a6d,20117,2654,2026-05-07T10:52:28.224750,"shadcn/ui expert guidance — CLI, component installation, composition patterns, custom registries, theming, Tailwind CSS integration, and high-quality interface design. Use when initializing shadcn, ad"
verification,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/verification/SKILL.md,1c9cdb2b04c4,7930,1156,2026-05-07T10:52:28.224898,"Full-story verification — infers what the user is building, then verifies the complete flow end-to-end: browser → API → data → response. Triggers on dev server start and 'why isn't this working' signa"
workflow,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/workflow/SKILL.md,5d3f2e4a353f,32002,3861,2026-05-07T10:52:28.225257,"Vercel Workflow DevKit (WDK) expert guidance. Use when building durable workflows, long-running tasks, API routes or agents that need pause/resume, retries, step-based execution, or crash-safe orchest"
workflow,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/workflow/upstream/SKILL.md,ee1d6c402c50,18733,2397,2026-05-07T10:52:28.225590,"Creates durable, resumable workflows using Vercel's Workflow DevKit. Use when building workflows that need to survive restarts, pause for external events, retry on failure, or coordinate multi-step op"
react-best-practices,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/react-best-practices/SKILL.md,1f5a862b4c60,8039,994,2026-05-07T10:52:28.225907,"React best-practices reviewer for TSX files. Triggers after editing multiple TSX components to run a condensed quality checklist covering component structure, hooks usage, accessibility, performance, "
vercel-react-best-practices,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/react-best-practices/upstream/SKILL.md,d7b0ec66ea66,6691,879,2026-05-07T10:52:28.234306,"React and Next.js performance optimization guidelines from Vercel Engineering. This skill should be used when writing, reviewing, or refactoring React/Next.js code to ensure optimal performance patter"
nextjs,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/nextjs/SKILL.md,a84d03ab8e78,17983,1862,2026-05-07T10:52:28.244314,"Next.js App Router expert guidance. Use when building, debugging, or architecting Next.js applications — routing, Server Components, Server Actions, Cache Components, layouts, middleware/proxy, data f"
next-best-practices,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/nextjs/upstream/SKILL.md,c78f952d4e98,4004,489,2026-05-07T10:52:28.246334,"Next.js best practices - file conventions, RSC boundaries, data patterns, async APIs, metadata, error handling, route handlers, image/font optimization, bundling"
vercel-sandbox,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/vercel-sandbox/SKILL.md,8a80453de690,11769,1314,2026-05-07T10:52:28.246643,"Vercel Sandbox guidance — ephemeral Firecracker microVMs for running untrusted code safely. Supports AI agents, code generation, and experimentation. Use when executing user-generated or AI-generated "
vercel-sandbox,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/vercel-sandbox/upstream/SKILL.md,15da32dca80c,9671,1119,2026-05-07T10:52:28.246846,"Run agent-browser + Chrome inside Vercel Sandbox microVMs for browser automation from any Vercel-deployed app. Use when the user needs browser automation in a Vercel app (Next.js, SvelteKit, Nuxt, Rem"
next-upgrade,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/next-upgrade/SKILL.md,96d79dd3cff5,3459,376,2026-05-07T10:52:28.247094,"Upgrade Next.js to the latest version following official migration guides and codemods. Use when upgrading Next.js versions, running codemods, or migrating between major releases."
next-upgrade,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/next-upgrade/upstream/SKILL.md,562f9834d7c5,2009,233,2026-05-07T10:52:28.247234,Upgrade Next.js to the latest version following official migration guides and codemods
chat-sdk,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/chat-sdk/SKILL.md,82d66d41af16,13036,1298,2026-05-07T10:52:28.247510,"Vercel Chat SDK expert guidance. Use when building multi-platform chat bots — Slack, Telegram, Microsoft Teams, Discord, Google Chat, GitHub, Linear — with a single codebase. Covers the Chat class, ad"
chat-sdk,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/chat-sdk/upstream/SKILL.md,d6d1224c2d01,8994,1001,2026-05-07T10:52:28.247690,>
ai-sdk,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/ai-sdk/SKILL.md,255c0f4bd83a,19820,2110,2026-05-07T10:52:28.248396,"Vercel AI SDK expert guidance. Use when building AI-powered features — chat interfaces, text generation, structured output, tool calling, agents, MCP integration, streaming, embeddings, reranking, ima"
ai-sdk,/Users/mavensix/.claude/plugins/cache/claude-plugins-official/vercel/0.42.1/skills/ai-sdk/upstream/SKILL.md,07e3ac5f4231,4683,598,2026-05-07T10:52:28.249029,"Answer questions about the AI SDK and help build AI-powered features. Use when developers: (1) Ask about AI SDK functions like generateText, streamText, ToolLoopAgent, embed, or tools, (2) Want to bui"
